Subject Age Group,Weapon Type,Officer YOB,Officer Gender,Officer Race,Subject Perceived Race,Subject Perceived Gender,Initial Call Type,Arrest Flag,Frisk Flag,Reported_year
46 - 55,None,1962,Female,White,Black or African American,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2015
46 - 55,None,1955,Male,Hispanic,Black or African American,Male,ASLT - CRITICAL (NO SHOOTINGS),0,1,2015
18 - 25,None,1992,Male,White,Asian,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2015
26 - 35,None,1991,Male,White,White,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2015
46 - 55,None,1977,Female,Hispanic,Black or African American,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2015
18 - 25,None,1955,Male,Hispanic,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2015
18 - 25,None,1955,Male,Hispanic,White,Female,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2015
36 - 45,None,1982,Male,Asian,Black or African American,Male,DISTURBANCE,0,0,2015
26 - 35,None,1985,Female,White,Black or African American,Male,DISTURBANCE,0,0,2015
26 - 35,None,1966,Male,White,White,Male,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,0,2015
56 and Above,None,1977,Male,White,White,Female,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,0,0,2015
26 - 35,None,1963,Male,White,White,Male,DISTURBANCE,0,0,2015
26 - 35,None,1982,Female,White,White,Male,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",0,0,2015
46 - 55,None,1984,Female,Asian,White,Male,HAZ - POTENTIAL THRT TO PHYS SAFETY,0,0,2015
56 and Above,None,1989,Male,Declined to Answer,White,Male,BURG - RESD (INCL UNOCC STRUCTURES ON PROP),0,0,2015
18 - 25,None,1977,Male,White,Black or African American,Male,TRESPASS,0,0,2015
18 - 25,None,1987,Male,White,White,Male,OBS - ARSON - IP/JO,0,0,2015
18 - 25,None,1991,Male,White,Black or African American,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,1,2015
36 - 45,None,1955,Male,Hispanic,White,Male,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",0,0,2015
26 - 35,None,1984,Male,White,Unknown,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2015
26 - 35,None,1977,Male,White,White,Male,OBS - DOWN - CHECK FOR PERSON DOWN,0,0,2015
36 - 45,None,1977,Male,White,White,Male,DISTURBANCE,0,0,2015
46 - 55,None,1966,Male,White,White,Male,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,0,0,2015
56 and Above,None,1985,Female,White,Black or African American,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2015
36 - 45,Lethal Cutting Instrument,1983,Male,American Indian or Alaska Native,Black or African American,Male,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",0,0,2015
56 and Above,None,1982,Male,Asian,Black or African American,Male,DISTURBANCE,0,0,2015
36 - 45,None,1961,Female,White,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2015
56 and Above,None,1985,Female,White,Black or African American,Male,DISTURBANCE,0,0,2015
46 - 55,None,1981,Female,Black or African American,Black or African American,Male,WARRANT - FELONY PICKUP,0,0,2015
18 - 25,None,1991,Male,White,Black or African American,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,1,2015
56 and Above,None,1974,Male,White,White,Male,PROPERTY - DAMAGE,0,0,2015
18 - 25,None,1970,Female,White,Asian,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2015
26 - 35,None,1977,Male,White,Black or African American,Male,DISTURBANCE,0,0,2015
18 - 25,None,1983,Male,American Indian or Alaska Native,Multi-Racial,Female,DISTURBANCE - DV - NO ASLT,0,0,2015
18 - 25,None,1983,Male,American Indian or Alaska Native,Black or African American,Male,DISTURBANCE - DV - NO ASLT,0,0,2015
18 - 25,None,1983,Male,Two or More Races,Black or African American,Female,ASLT - PERSON SHOT OR SHOT AT,0,1,2015
18 - 25,None,1983,Male,Two or More Races,Black or African American,Male,ASLT - PERSON SHOT OR SHOT AT,0,1,2015
46 - 55,Handgun,1981,Male,Declined to Answer,Black or African American,Male,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",0,1,2015
36 - 45,None,1982,Male,Asian,White,Male,DISTURBANCE,0,0,2015
26 - 35,Handgun,1977,Male,White,White,Male,SUICIDE - CRITICAL,0,1,2015
46 - 55,None,1985,Female,White,Unknown,Male,DISTURBANCE,0,0,2015
46 - 55,None,1982,Male,Asian,White,Male,DISTURBANCE,0,0,2015
18 - 25,None,1973,Male,White,White,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2015
26 - 35,None,1973,Male,White,Black or African American,Male,DISTURBANCE,0,1,2015
26 - 35,None,1973,Male,White,Black or African American,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2015
18 - 25,Lethal Cutting Instrument,1973,Male,White,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,1,2015
56 and Above,None,1973,Male,White,White,Female,SFD - ASSIST ON CRITICAL FIRE OR MEDIC RESPONSE,0,0,2015
18 - 25,None,1987,Female,Black or African American,Black or African American,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2015
18 - 25,None,1977,Male,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2015
26 - 35,None,1977,Male,White,White,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2015
36 - 45,None,1977,Male,White,White,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2015
36 - 45,None,1975,Male,Native Hawaiian or Other Pacific Islander,Black or African American,Male,NUISANCE,0,0,2015
26 - 35,None,1959,Male,White,White,Female,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2015
26 - 35,None,1961,Male,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2015
26 - 35,Lethal Cutting Instrument,1978,Female,Two or More Races,Black or African American,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,1,2015
36 - 45,None,1967,Male,White,White,Male,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",0,1,2015
18 - 25,None,1991,Male,Declined to Answer,Black or African American,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2015
36 - 45,None,1991,Male,Declined to Answer,Black or African American,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2015
18 - 25,None,1992,Male,White,White,Male,DUI - DRIVING UNDER INFLUENCE,0,0,2015
36 - 45,None,1987,Male,White,Black or African American,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,1,2015
26 - 35,None,1987,Male,White,Black or African American,Female,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2015
46 - 55,None,1990,Male,White,Black or African American,Male,ASLT - WITH OR W/O WPNS (NO SHOOTINGS),0,1,2015
56 and Above,Lethal Cutting Instrument,1977,Male,White,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,1,2015
26 - 35,None,1983,Male,White,White,Male,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,1,2015
26 - 35,None,1984,Male,White,Asian,Male,DISTURBANCE,0,0,2015
26 - 35,None,1983,Male,White,White,Female,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2015
46 - 55,None,1989,Male,Declined to Answer,Black or African American,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2015
26 - 35,None,1986,Female,Hispanic,White,Male,ASLT - CRITICAL (NO SHOOTINGS),0,1,2015
46 - 55,None,1989,Male,Declined to Answer,White,Female,DISTURBANCE - DV CRITICAL,0,0,2015
46 - 55,None,1981,Female,Black or African American,Black or African American,Male,ASLT - WITH OR W/O WPNS (NO SHOOTINGS),0,0,2015
18 - 25,None,1983,Male,American Indian or Alaska Native,White,Male,NUISANCE,0,0,2015
18 - 25,None,1983,Male,American Indian or Alaska Native,Multi-Racial,Female,NUISANCE,0,0,2015
46 - 55,None,1987,Female,White,Black or African American,Male,ASLT - DV CRITICAL,0,0,2015
26 - 35,None,1977,Male,White,White,Female,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2015
26 - 35,None,1968,Male,White,White,Male,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",0,0,2015
26 - 35,None,1968,Male,White,White,Male,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,0,2015
36 - 45,Lethal Cutting Instrument,1980,Male,White,Asian,Male,DISTURBANCE,0,0,2015
18 - 25,None,1982,Male,White,White,Female,BURG - OCCUPIED RESD,0,0,2015
26 - 35,None,1987,Female,Black or African American,Multi-Racial,Male,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",0,1,2015
26 - 35,None,1977,Male,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2015
46 - 55,None,1977,Male,White,American Indian or Alaska Native,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,1,2015
26 - 35,None,1985,Male,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2015
18 - 25,None,1989,Female,White,White,Male,FRAUD,0,0,2015
56 and Above,None,1984,Male,White,White,Male,ASLT - DV CRITICAL,0,1,2015
18 - 25,None,1965,Female,White,Black or African American,Male,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,0,2015
26 - 35,None,1980,Male,White,Black or African American,Male,SHOTS HEARD - IN PROGRESS,0,1,2015
36 - 45,None,1977,Male,White,Hispanic,Male,MVC - HIT AND RUN,0,0,2015
18 - 25,None,1965,Male,White,Black or African American,Male,SHOTS HEARD - IN PROGRESS,0,1,2015
36 - 45,None,1976,Male,Declined to Answer,Hispanic,Male,PROPERTY - DAMAGE,0,1,2015
18 - 25,None,1980,Male,White,Black or African American,Male,SHOTS HEARD - IN PROGRESS,0,1,2015
26 - 35,None,1982,Male,Native Hawaiian or Other Pacific Islander,Black or African American,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,1,2015
26 - 35,None,1977,Male,White,White,Unable to Determine,DISTURBANCE,0,0,2015
26 - 35,None,1992,Female,Two or More Races,Other,Male,MVC - HIT AND RUN,0,0,2015
26 - 35,None,1984,Male,White,Black or African American,Male,TRAFFIC STOP - OFFICER INITIATED ONVIEW,0,0,2015
18 - 25,None,1984,Male,White,Black or African American,Female,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,1,2015
18 - 25,Lethal Cutting Instrument,1985,Male,Declined to Answer,White,Male,ASLT - WITH OR W/O WPNS (NO SHOOTINGS),0,0,2015
26 - 35,None,1970,Male,Black or African American,Hispanic,Male,DISTURBANCE - DV - NO ASLT,0,0,2015
36 - 45,None,1981,Male,White,Black or African American,Female,THEFT OF SERVICES,0,0,2015
26 - 35,None,1962,Male,Asian,Black or African American,Male,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,1,2015
26 - 35,Handgun,1965,Male,White,Black or African American,Male,SHOTS HEARD - IN PROGRESS,0,1,2015
46 - 55,None,1972,Male,White,White,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,0,2015
46 - 55,None,1982,Male,Native Hawaiian or Other Pacific Islander,White,Female,DISTURBANCE,0,0,2015
18 - 25,None,1981,Male,White,White,Female,BURG - RESD (INCL UNOCC STRUCTURES ON PROP),0,0,2015
36 - 45,None,1973,Male,White,White,Female,DISTURBANCE,0,0,2015
26 - 35,None,1985,Male,Declined to Answer,White,Male,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,0,0,2015
36 - 45,None,1975,Male,Two or More Races,Unknown,Male,TRESPASS,0,0,2015
26 - 35,None,1977,Male,White,White,Male,MVC - HIT AND RUN,0,0,2015
56 and Above,None,1986,Male,Declined to Answer,Hispanic,Male,ASLT - CRITICAL (NO SHOOTINGS),0,1,2015
36 - 45,None,1973,Male,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2015
18 - 25,None,1970,Male,Black or African American,Black or African American,Male,SHOPLIFT - THEFT,0,1,2015
26 - 35,None,1982,Male,Native Hawaiian or Other Pacific Islander,White,Female,DISTURBANCE,0,0,2015
26 - 35,None,1981,Male,White,White,Male,BURG - RESD (INCL UNOCC STRUCTURES ON PROP),0,0,2015
18 - 25,None,1986,Male,White,White,Male,WARRANT - FELONY PICKUP,0,0,2015
36 - 45,None,1977,Female,White,White,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2015
26 - 35,None,1980,Male,White,Black or African American,Male,ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,0,0,2015
26 - 35,None,1977,Female,White,White,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2015
26 - 35,None,1985,Male,Declined to Answer,White,Male,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",0,0,2015
26 - 35,None,1980,Male,White,White,Female,ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,0,0,2015
18 - 25,None,1973,Male,White,White,Male,ASLT - CRITICAL (NO SHOOTINGS),0,0,2015
56 and Above,None,1987,Male,White,American Indian or Alaska Native,Male,DISTURBANCE,0,0,2015
46 - 55,None,1982,Male,White,White,Male,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,0,0,2015
26 - 35,None,1992,Female,White,White,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2015
26 - 35,None,1989,Female,White,White,Male,BURG - OCCUPIED RESD,0,0,2015
56 and Above,None,1987,Male,White,White,Male,DISTURBANCE,0,0,2015
18 - 25,None,1989,Female,White,White,Male,BURG - OCCUPIED RESD,0,0,2015
36 - 45,None,1968,Male,Hispanic,Black or African American,Male,WARRANT - FELONY PICKUP,0,1,2015
26 - 35,None,1982,Male,White,White,Female,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,0,0,2015
36 - 45,None,1987,Male,White,American Indian or Alaska Native,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2015
26 - 35,Lethal Cutting Instrument,1987,Female,White,White,Male,ASLT - CRITICAL (NO SHOOTINGS),0,1,2015
26 - 35,Lethal Cutting Instrument,1982,Male,Two or More Races,Multi-Racial,Female,FIGHT - CRITICAL WITH WEAPONS,0,0,2015
36 - 45,None,1982,Male,White,Black or African American,Female,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,0,0,2015
18 - 25,None,1986,Male,White,Black or African American,Male,DISTURBANCE - DV CRITICAL,0,0,2015
36 - 45,None,1977,Male,Asian,Black or African American,Male,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",0,1,2015
36 - 45,None,1987,Male,White,White,Female,DISTURBANCE,0,0,2015
56 and Above,None,1976,Male,White,White,Male,OBS - BURG - IP/JO - COMM BURG (INCLUDES SCHOOLS),0,0,2015
26 - 35,None,1990,Male,White,Black or African American,Female,DISTURBANCE - DV CRITICAL,0,0,2015
46 - 55,None,1963,Male,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2015
26 - 35,None,1978,Male,White,Black or African American,Male,DISTURBANCE - DV CRITICAL,0,0,2015
26 - 35,None,1954,Male,White,American Indian or Alaska Native,Male,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,0,2015
18 - 25,None,1975,Male,White,Hispanic,Female,OBS - FIGHT - IP - PHYSICAL (NO WEAPONS),0,0,2015
18 - 25,Handgun,1967,Male,Black or African American,Black or African American,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,1,2015
46 - 55,None,1991,Female,White,Black or African American,Male,ASLT - WITH OR W/O WPNS (NO SHOOTINGS),0,0,2015
26 - 35,None,1978,Male,White,Black or African American,Female,DISTURBANCE - DV CRITICAL,0,0,2015
26 - 35,Lethal Cutting Instrument,1975,Male,White,Hispanic,Male,ASLT - CRITICAL (NO SHOOTINGS),0,1,2015
36 - 45,None,1967,Male,Declined to Answer,White,Male,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0,0,2015
36 - 45,None,1979,Male,White,White,Male,SHOPLIFT - THEFT,0,0,2015
36 - 45,None,1983,Male,American Indian or Alaska Native,Black or African American,Male,TRESPASS,0,0,2015
18 - 25,None,1969,Male,White,White,Male,OFF DUTY EMPLOYMENT,0,0,2015
56 and Above,None,1985,Male,White,White,Female,SHOPLIFT - THEFT,0,0,2015
18 - 25,None,1963,Male,Hispanic,Unknown,Female,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,1,2015
18 - 25,None,1975,Male,White,Unknown,Male,DISTURBANCE,0,0,2015
46 - 55,None,1976,Male,White,Black or African American,Male,DISTURBANCE,0,0,2015
26 - 35,None,1983,Male,White,Black or African American,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2015
18 - 25,None,1975,Male,White,White,Female,AUTO RECOVERY,0,1,2015
36 - 45,None,1975,Male,White,American Indian or Alaska Native,Female,BURG - OCCUPIED RESD,0,0,2015
26 - 35,None,1990,Female,White,Black or African American,Male,DISTURBANCE,0,1,2015
18 - 25,None,1975,Male,White,Multi-Racial,Male,AUTO RECOVERY,0,1,2015
56 and Above,None,1984,Male,White,White,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,1,2015
36 - 45,None,1984,Male,Asian,White,Male,DISTURBANCE,0,1,2015
56 and Above,None,1962,Male,White,Black or African American,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,0,2015
18 - 25,None,1975,Male,White,Asian,Female,AUTO RECOVERY,0,1,2015
36 - 45,None,1963,Male,Hispanic,Asian,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,0,2015
18 - 25,None,1975,Male,White,Black or African American,Male,AUTO RECOVERY,0,1,2015
36 - 45,None,1963,Male,Hispanic,Black or African American,Female,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,1,2015
46 - 55,None,1984,Male,White,White,Male,BURG - OCCUPIED RESD,0,0,2015
18 - 25,None,1973,Male,White,White,Male,OBS - DOWN - CHECK FOR PERSON DOWN,0,0,2015
18 - 25,None,1965,Male,White,Black or African American,Male,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0,0,2015
26 - 35,None,1963,Male,Hispanic,Black or African American,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,1,2015
46 - 55,None,1961,Male,White,Multi-Racial,Male,DISTURBANCE,0,0,2015
46 - 55,None,1970,Female,White,Black or African American,Male,ASLT - WITH OR W/O WPNS (NO SHOOTINGS),0,0,2015
18 - 25,Lethal Cutting Instrument,1975,Male,White,White,Male,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0,1,2015
26 - 35,None,1977,Male,White,White,Male,ASLT - WITH OR W/O WPNS (NO SHOOTINGS),0,1,2015
18 - 25,None,1982,Male,Declined to Answer,Black or African American,Male,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0,0,2015
26 - 35,None,1984,Male,Asian,White,Female,OVERDOSE,0,0,2015
18 - 25,None,1986,Male,White,White,Female,SHOPLIFT - THEFT,0,0,2015
